2024-08-18	15	502	2
2024-08-18	16	502	1
2024-08-18	17	429	3
2024-08-18	18	429	10
2024-08-18	19	429	10
2024-08-18	20	429	7
2024-08-18	21	429	2
2024-08-18	22	429	8
2024-08-18	23	429	10
2024-08-19	00	429	1
2024-08-19	00	504	1
2024-08-19	02	429	5
2024-08-19	03	429	11
2024-08-19	04	429	6
2024-08-19	05	429	9
2024-08-19	06	429	14
2024-08-19	07	429	4
2024-08-19	08	429	10
2024-08-19	09	429	3
2024-08-19	10	429	7
2024-08-19	11	429	2
2024-08-19	12	429	2
2024-08-19	12	502	1
2024-08-19	13	502	1
2024-08-19	13	503	1
2024-08-19	18	429	1
2024-08-19	19	429	4
2024-08-19	22	429	5
2024-08-19	23	429	4
2024-08-20	00	504	1
2024-08-20	01	429	2
2024-08-20	05	429	3
2024-08-20	06	429	4
2024-08-20	07	429	1
2024-08-20	08	429	9
2024-08-20	09	429	14
2024-08-20	10	429	7
2024-08-20	11	429	5
2024-08-20	12	429	6
2024-08-20	13	502	2
2024-08-20	13	503	1
2024-08-20	13	502	1
2024-08-20	14	429	4
2024-08-20	15	429	5
2024-08-20	18	429	2
2024-08-20	19	429	2
2024-08-20	21	429	12
2024-08-20	22	429	7
2024-08-20	23	429	1
2024-08-21	00	429	6
2024-08-21	01	429	4
2024-08-21	02	429	11
2024-08-21	03	429	14
2024-08-21	06	429	4
2024-08-21	07	429	8
2024-08-21	08	429	3
2024-08-21	09	429	1
2024-08-21	09	504	1
2024-08-21	13	500	1
2024-08-21	14	500	1
2024-08-21	14	502	1
2024-08-21	14	503	1
2024-08-21	15	502	1
2024-08-21	19	504	1
2024-08-21	23	504	1
2024-08-22	02	503	1
2024-08-22	04	503	1
2024-08-22	12	504	1
2024-08-22	16	502	1
2024-08-22	17	504	1
2024-08-22	17	502	1
2024-08-22	18	502	1
2024-08-23	13	503	1
2024-08-23	23	502	1
2024-08-24	00	502	1
2024-08-24	00	503	1
2024-08-24	00	502	1
2024-08-24	00	503	1
2024-08-24	01	504	1
2024-08-24	01	502	1
2024-08-24	01	503	1
2024-08-24	02	503	1
2024-08-24	03	502	2
2024-08-24	04	502	1
2024-08-24	04	429	2
2024-08-24	04	502	1
2024-08-24	04	503	1
2024-08-24	05	502	1
2024-08-24	05	503	1
2024-08-24	05	502	2
2024-08-24	06	502	3
2024-08-24	06	503	1
2024-08-24	07	503	1
2024-08-24	07	429	1
2024-08-24	07	502	3
2024-08-24	08	429	2
2024-08-24	08	502	1
2024-08-24	08	503	1
2024-08-24	08	429	1
2024-08-24	08	502	1
2024-08-24	09	502	1
2024-08-24	09	429	11
2024-08-24	10	429	29
2024-08-24	11	429	30
2024-08-24	12	429	24
2024-08-24	13	429	27
2024-08-24	14	429	21
2024-08-24	15	429	26
2024-08-24	16	429	21
2024-08-24	17	429	16
2024-08-24	20	429	22
2024-08-24	21	429	27
2024-08-24	22	429	29
2024-08-24	23	429	27
2024-08-25	00	429	26
2024-08-25	01	429	32
2024-08-25	02	429	10
2024-08-25	03	429	28
2024-08-25	04	429	25
2024-08-25	05	429	22
2024-08-25	06	429	26
2024-08-25	07	429	24
2024-08-25	08	429	23
2024-08-25	09	429	3
2024-08-25	09	502	2
2024-08-25	09	429	8
2024-08-25	10	429	6
2024-08-25	10	502	3
2024-08-25	10	429	2
2024-08-25	11	429	1
2024-08-25	11	503	1
2024-08-25	11	429	12
2024-08-25	12	429	26
2024-08-25	13	429	15
2024-08-25	14	429	31
2024-08-25	15	429	28
2024-08-25	16	429	22
2024-08-25	17	429	30
2024-08-25	18	429	29
2024-08-25	19	429	9
2024-08-25	19	502	1
2024-08-25	19	429	13
2024-08-25	20	429	3
2024-08-25	20	502	2
2024-08-25	20	503	1
2024-08-25	20	429	1
2024-08-25	20	502	1
2024-08-25	21	429	16
2024-08-25	21	502	1
2024-08-25	21	429	2
2024-08-25	22	429	2
2024-08-26	00	429	9
